"x1","x2","x3","x4"
1,1,1,1
2.01771079006045,7.10000018862078,1.26122448529412,7.40000018862078
2.67563787024461,7.15819073179786,1.52244897058824,7.40000018862078
3.17420844891764,7.18905425887465,1.78367345588235,7.40000018862078
3.58133886992169,7.21119710933888,2.04489794117647,7.40000018862078
3.92870031312651,7.22890336854823,2.30612242647059,7.40000018862078
4.23375545994915,7.24389727602845,2.56734691176471,7.40000018862078
4.50720431839702,7.25705562321135,2.82857139705882,7.40000018862078
4.75610084974314,7.26888890068175,3.08979588235294,7.40000018862078
4.9853530565308,7.27972224764585,3.35102036764706,7.40000018862078
5.19852052929886,7.28977655719013,3.61224485294118,7.40000018862078
5.39827146026306,7.29920944808948,3.87346933823529,7.40000018862078
5.58666033832374,7.30813785702678,4.13469382352941,7.40000018862078
5.76530484781339,7.31665136364068,4.39591830882353,7.40000018862078
5.93550303099685,7.32482048292458,4.65714279411765,7.40000018862078
6.09831346300299,7.33270205817904,4.91836727941176,7.40000018862078
6.25461166365956,7.34034290117109,5.17959176470588,7.40000018862078
6.40513075316217,7.34778232973105,5.44081625,7.40000018862078
6.55049137159254,7.35505398853754,5.70204073529412,7.40000018862078
6.69122410636343,7.36218719103209,5.96326522058824,7.40000018862078
6.82778658036865,7.36920793439611,6.22448970588235,7.40000018862078
6.96057666332778,7.37613968774461,6.48571419117647,7.40000018862078
7.08994282083815,7.38300402163791,6.74693867647059,7.40000018862078
7.21619231819398,7.38982112674785,7.00816316176471,7.40000018862078
7.33959779442648,7.39661025655355,7.26938764705882,7.40000018862078
7.46040258281508,7.40339012068802,7.53061213235294,7.40000018862078
7.57882505637039,7.41017925049371,7.79183661764706,7.50612262990157
7.6950622070878,7.41699635560366,8.05306110294118,7.61224507118235
7.80929261736339,7.42386068949696,8.3142855882353,7.71836751246313
7.92167894503774,7.43079244284545,8.57551007352941,7.82448995374392
8.03237001615746,7.43781318620948,8.83673455882353,7.9306123950247
8.14150259902529,7.44494638870403,9.09795904411765,8.03673483630549
8.24920291757201,7.45221804751051,9.35918352941177,8.14285727758627
8.35558795020625,7.45965747607047,9.62040801470588,8.24897971886706
8.46076655113979,7.46729831906252,9.8816325,8.35510216014784
8.56484042406542,7.47517989431698,9.5,8.46122460142863
8.66790497248747,7.48334901360088,9.5,8.56734704270941
8.77005004660584,7.49186252021478,9.5,8.67346948399019
8.8713606031629,7.50079092915208,9.5,8.77959192527098
8.97191729187478,7.51022382005143,9.5,8.88571436655176
9.07179697983242,7.52027812959572,9.5,8.99183680783255
9.17107322345485,7.53111147655981,9.5,9.09795924911333
9.26981669612031,7.54294475403021,9.5,9.20408169039412
9.36809557841925,7.55610310121311,9.5,9.3102041316749
9.46597591701542,7.57109700869334,9.5,9.41632657295569
9.56352195732426,7.58880326790269,9.5,9.52244901423647
9.66079645459124,7.61094611836691,9.5,9.62857145551726
9.75786096744962,7.6418096454437,9.5,9.73469389679804
9.85477613764,7.70000018862078,9.5,9.84081633807882
9.95160195926619,7.71000018862078,9.5,9.94693877935961
10.0483980407338,12.2899998113792,10.5,10.0530612206404
10.14522386236,12.2999998113792,10.5,10.1591836619212
10.2421390325504,12.3581903545563,10.5,10.265306103202
10.3392035454088,12.3890538816331,10.5,10.3714285444827
10.4364780426757,12.4111967320973,10.5,10.4775509857635
10.5340240829846,12.4289029913067,10.5,10.5836734270443
10.6319044215807,12.4438968987869,10.5,10.6897958683251
10.7301833038797,12.4570552459698,10.5,10.7959183096059
10.8289267765451,12.4688885234402,10.5,10.9020407508867
10.9282030201676,12.4797218704043,10.5,11.0081631921675
11.0280827081252,12.4897761799486,10.5,11.1142856334482
11.1286393968371,12.4992090708479,10.5,11.220408074729
