x,y,z
0,1,4.101949268024294
1,1,3.6235052363982865
3,1,2.4594943895877557
4,1,2.128546565007018
5,1,1.484190152261044
7,1,1.0010872723428799
8,1,-0.05031649528309371
9,1,-0.4327535093980426
10,1,-0.9535660132522482
12,1,-1.8198002326575278
13,1,-2.20476271403946
14,1,-3.0610574051091093
15,1,-3.3380513913983774
16,1,-4.186878621110258
17,1,-4.510508625633048
18,1,-4.965449898929946
19,1,-5.66932341410304
20,1,-6.0290442455494375
21,1,-6.2468019954703005
22,1,-6.988832276934506
23,1,-7.407892790771591
25,1,-8.861793618207972
26,1,-8.58151439684713
27,1,-9.564133077412077
0,2,3.7887271905606967
1,2,3.570828215972222
3,2,2.2232048901034784
4,2,1.5935448794014349
6,2,0.7451973973258816
7,2,0.19392078866111445
14,2,-3.6748851140445513
15,2,-3.8381763969340272
20,2,-6.512496092377703
21,2,-7.088911488190095
24,2,-8.276734215103284
25,2,-9.092484304236704
27,2,-9.761924073696342
28,2,-10.483524693247082
0,3,3.168324897709601
1,3,2.018157744079129
3,3,1.5509747711582305
4,3,1.1916038019123452
6,3,-0.13717784806034192
7,3,-0.45374171533036
8,3,-1.4256268814671262
9,3,-1.3985137546908555
10,3,-1.8341996180009406
14,3,-4.105789169725536
15,3,-4.278057114792811
20,3,-7.132658594111224
21,3,-7.048833448667678
24,3,-9.056474449382367
25,3,-9.38635287913769
27,3,-10.360158495157307
28,3,-10.59319780789989
0,4,2.627100474398924
1,4,2.0605883826023343
2,4,1.532867380150066
3,4,0.8187403443809155
4,4,0.5544226535748843
6,4,-0.43093052697199324
7,4,-0.7926572538127453
9,4,-2.209093934298935
10,4,-2.4756348476538386
14,4,-4.635743830047286
15,4,-4.862726320025777
20,4,-7.437604119406416
21,4,-8.130418781817365
24,4,-9.228160892037131
25,4,-9.555752843853949
27,4,-11.317179452101797
28,4,-11.420227756728407
0,5,2.0744473779664507
1,5,1.7188408141489655
3,5,0.2571132264917907
4,5,-0.014793871155433388
7,5,-1.7058087987114223
8,5,-2.163925422291419
9,5,-2.3997563979895773
14,5,-5.121048260432598
15,5,-5.946969184602703
20,5,-8.344915784796926
21,5,-8.82150590251641
25,5,-10.6287562481343
26,5,-10.938802339415215
27,5,-11.509878930427591
0,6,1.3451906491608228
1,6,1.1996100176685773
3,6,0.20349541169233995
4,6,-0.04359463092667387
5,6,-1.0864388117423864
14,6,-5.554136920915918
15,6,-5.8268156473741435
20,6,-8.38869578964694
21,6,-8.715902568556636
12,7,-5.094511151576435
13,7,-5.378078463481902
14,7,-5.991814660408958
15,7,-6.602703399160016
18,7,-8.059309237996604
19,7,-8.314578346589728
20,7,-9.221928745598824
21,7,-9.791740385393346
